86;1023;29;2.3;37275550
284;1276;8;2.1;889838575
218;1177;13;4.6;190756966
106;1038;10;3.7;537129087
33;1230;41;3.9;1625527982
255;1111;5;2.3;500948058
29;1061;9;3.6;1649545838
161;1247;10;5.0;297318956
190;1105;10;2.6;316516995
33;1255;8;1.4;368495990
64;1232;18;2.9;1703130336
124;1076;7;4.6;127517113
230;1053;42;2.3;701491094
220;1228;32;2.5;1229909188
103;1284;27;2.8;1199418160
186;1246;27;3.4;469631430
225;1235;2;1.2;921784606
113;1072;35;4.2;1385247293
196;1052;31;3.1;1111496540
68;1139;29;1.4;1331684355
91;1132;15;1.9;210792984
237;1134;5;2.9;392708207
235;1174;2;1.8;565009534
22;1028;47;4.0;1011005115
200;1035;38;2.0;375751708
216;1080;4;4.8;1581750361
207;1280;45;1.0;1033666082
218;1137;39;1.5;1618694928
111;1063;9;1.5;1200246097
173;1217;26;1.5;400113473
143;1132;12;3.9;23338425
183;1003;20;3.0;736417676
287;1210;15;3.7;694565678
125;1017;22;4.0;1155738695
22;1230;20;1.6;735709921
230;1198;15;3.7;1521934846
191;1251;40;1.6;171563472
107;1262;21;2.5;925621945
173;1060;49;1.3;1557165848
12;1256;13;1.2;51116279
293;1053;31;3.0;259169880
292;1079;44;4.0;726294930
299;1154;36;3.3;459757680
120;1106;27;4.2;1723132838
207;1090;14;1.4;1532540203
81;1019;16;2.1;763199390
47;1063;32;1.5;731364941
58;1227;41;3.8;653931780
229;1186;8;3.1;203906282
275;1235;11;4.3;195828429
286;1021;35;1.9;1521347119
270;1206;6;2.8;936450358
239;1201;31;4.7;283609842
231;1239;4;2.0;746607217
260;1271;19;4.0;1730916317
173;1008;39;2.4;1361636760
190;1122;30;2.1;622664711
201;1290;11;1.6;1710993693
242;1298;42;2.0;1611300127
215;1067;5;4.1;646403019
216;1070;29;4.7;1081069019
284;1252;42;1.4;534155466
64;1019;48;4.3;677914517
148;1232;35;3.3;1450474606
25;1057;1;2.8;1289348835
292;1121;49;3.8;895446638
238;1192;18;2.6;789821161
251;1155;31;2.9;1585786342
204;1192;31;2.4;594497153
118;1063;49;3.9;782438957
166;1220;41;1.2;444162772
17;1081;24;1.7;1369566409
73;1100;35;4.5;236487851
114;1069;16;1.8;760598417
29;1152;50;1.5;227269401
56;1036;3;1.1;311572088
199;1133;28;2.9;248811744
80;1174;44;1.8;1420787583
192;1282;42;4.8;240694696
78;1009;2;3.0;1551746699
98;1217;44;1.8;133146999
173;1042;23;3.0;1113566774
261;1196;14;3.1;1706223474
89;1082;2;3.6;803206369
97;1089;19;3.1;1623168388
277;1033;41;2.6;915572461
76;1033;14;5.0;24109065
175;1019;1;2.5;828804723
34;1056;48;2.9;418245771
272;1122;24;4.9;44360734
227;1257;35;3.7;361375120
296;1299;1;4.2;675750040
80;1161;14;3.3;1192230393
73;1219;23;1.6;788601684
300;1183;35;1.8;714615971
247;1014;18;4.5;1356856902
276;1101;38;3.3;1208272522
198;1206;12;2.4;788482626
27;1095;19;1.3;1469211905
243;1083;39;1.5;1159206707
3;1042;43;4.8;430622482
22;1281;6;4.8;1549336236
243;1014;48;3.4;1307749558
181;1266;47;4.5;67519151
129;1096;50;4.1;669692932
226;1259;37;3.9;273672970
121;1053;8;4.2;497606334
161;1033;45;1.5;1463704060
181;1092;32;1.8;1408822475
123;1236;36;1.2;54652078
274;1035;21;1.2;1407566999
299;1224;32;1.6;900767648
47;1289;44;3.4;269390078
72;1228;39;3.5;1165885054
50;1268;22;1.4;330343045
62;1064;18;5.0;1546683285
288;1095;39;3.6;414721816
206;1027;20;2.9;219211185
110;1119;6;2.6;1594704651
95;1246;50;3.8;1534370099
66;1167;25;1.3;229432337
250;1151;29;3.4;56911252
206;1154;50;2.9;639336661
218;1295;36;4.9;524819148
139;1235;30;2.8;1493259696
123;1280;34;4.2;681247665
79;1095;2;1.3;1403061243
119;1204;27;2.0;1163745054
229;1101;38;4.9;1613101968
66;1116;31;4.9;1715354881
296;1159;43;1.6;304914250
150;1008;31;3.2;1041683335
133;1028;46;4.1;839386448
75;1268;39;3.9;919486270
206;1298;6;3.6;437354667
141;1228;6;2.4;137560782
285;1139;42;2.9;1571062783
87;1011;28;2.3;1697067747
156;1092;43;2.3;197796229
120;1095;34;4.1;883236140
131;1280;39;1.6;1352570509
36;1244;23;1.6;1409123463
276;1191;10;2.1;1337080631
49;1062;32;4.3;664968479
145;1087;36;4.0;1026191221
69;1033;27;4.5;374468882
246;1206;15;4.3;937576564
122;1267;18;3.6;1724585616
96;1001;22;3.6;826960986
283;1253;25;3.4;1086289742
149;1217;47;1.9;1528103613
45;1173;20;2.3;206203235
69;1244;34;2.8;1320748902
18;1225;12;2.7;621047151
292;1034;40;1.0;996600028
117;1094;25;2.4;1681646002
76;1139;9;2.1;172684342
